mode,dataset,pred_len,test_mse,test_mae
forecasting_electricity_laya_relation_text,ETTm1,336,0.6072,0.5798
forecasting_electricity_laya_relation_text,ETTm1,720,0.7638,0.6641
forecasting_electricity_laya_relation_text,ETTm2,96,0.6894,0.6052
forecasting_electricity_laya_relation_text,ETTm2,192,0.8629,0.6725
forecasting_electricity_laya_relation_text,ETTm2,336,1.2251,0.8418
forecasting_electricity_laya_relation_text,ETTm2,720,1.2704,0.8589
forecasting_electricity_laya_relation_text,weather,96,0.2859,0.3477
forecasting_electricity_laya_relation_text,weather,192,0.3288,0.3854
forecasting_electricity_laya_relation_text,weather,336,0.3887,0.4215
forecasting_electricity_laya_relation_text,weather,720,0.4436,0.4607
